LIMIT_BAL,SEX,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,Female,MARRIAGE_Married,MARRIAGE_Others,MARRIAGE_Single,EDUCATION_Graduate,EDUCATION_High School,EDUCATION_Others,EDUCATION_University,util_1,util_2,util_3,util_4,util_5,util_6,pay_ratio_1,pay_ratio_2,pay_ratio_3,pay_ratio_4,pay_ratio_5,pay_ratio_6,remaining_bal_1,remaining_bal_2,remaining_bal_3,remaining_bal_4,remaining_bal_5,remaining_bal_6,avg_monthly_bill,avg_monthly_payment,max_payment_delay,has_any_delay,n_months_delayed,severe_delay_count,bill_trend,payment_volatility,payment_cv,recent_payment_below_avg,total_bill,total_payment,net_debt,overall_util,bill_zero_count,pay_zero_count,default_payment_next_month
400000,1,31,1,1,1,1,1,1,185677,189682,194509,199284,203502,195769,7000,8000,8000,7500,9000,5000,0,0,0,1,0,0,0,1,0.4641913395216512,0.4742038144904638,0.4862712843217892,0.4982087544781138,0.5087537281156798,0.4894212764468089,0.03769967362853973,0.04217562986667229,0.04112899079738831,0.03763454349298743,0.044225392254659636,0.02554017469479491,178677,181682,186509,191784,194502,190769,194737.16666666666,7416.666666666667,1,1,6,0,-10092,1357.0801990548186,0.16123725137284972,1,1168423,44500,1123923,2.913773067331671,0,0,0
80000,2,22,4,3,1,1,1,3,42080,41131,42281,42605,47544,33115,0,2200,1500,5600,0,2275,1,0,0,1,0,0,0,1,0.5259934250821865,0.514131073361583,0.528505893676329,0.5325558430519618,0.5942925713428582,0.41393232584592693,0.0,0.05348633667217738,0.03547608911593586,0.1314368868234521,0.0,0.06869791037564923,42080,38931,40781,37005,47544,30840,41459.333333333336,1929.1666666666667,4,1,6,3,8965,2063.7597163106625,0.704555237431805,1,248756,11575,237181,3.071061728395062,0,2,0
50000,1,23,-1,-1,3,1,1,1,45708,48316,44070,45021,45145,46470,6000,0,2000,2000,3000,3600,0,0,0,1,0,0,0,1,0.9141417171656567,0.9663006739865203,0.8813823723525529,0.9004019919601608,0.9028819423611528,0.9293814123717525,0.1312651775361526,0.0,0.045381316511992016,0.04442272666696282,0.06645106986222478,0.07746766800800499,39708,48316,42070,43021,42145,42870,45788.333333333336,2766.6666666666665,3,1,4,1,-762,2001.6659728003235,0.5314157449912363,0,274730,16600,258130,5.386862745098039,0,1,0
50000,2,24,-1,-1,-1,-1,-1,-1,1303,1303,748,1693,1138,748,1303,748,1693,1138,895,1528,1,0,0,1,1,0,0,0,0.02605947881042379,0.02605947881042379,0.01495970080598388,0.03385932281354373,0.02275954480910382,0.01495970080598388,0.9992331288343558,0.5736196319018405,2.260347129506008,0.6717827626918536,0.7857769973661106,2.040053404539386,0,555,-945,555,243,-780,1155.5,1217.5,-1,0,0,0,555,363.4769593798209,0.16391294673272647,0,6933,7305,-372,0.13594117647058823,0,0,0
360000,1,44,-1,-1,-1,-1,-1,-1,5101,9358,15452,9990,6515,5694,9419,15485,9995,6515,5694,12785,0,1,0,0,0,0,0,1,0.014169405084985875,0.025994372237854894,0.04292210299415835,0.027749922916880786,0.018097171952300133,0.015816622731603523,1.846138769110153,1.6545571108024362,0.6467999741150585,0.6520868781903714,0.8738489871086557,2.2449517120280946,-4318,-6127,5457,3475,821,-7091,8685.0,9982.166666666666,-1,0,0,0,-593,3711.172020624572,0.33792712615524306,1,52110,59893,-7783,0.14434903047091413,0,0,0
240000,2,28,1,1,1,1,1,1,233441,236496,242446,207633,197644,193724,9000,10307,9014,6029,6014,6034,1,0,0,1,1,0,0,0,0.972666780555081,0.9853958941837743,1.0101874575522602,0.8651338952754364,0.8235132353615193,0.807179970083458,0.038553473667977484,0.04358194818538924,0.03717925979698656,0.02903667029484574,0.03042829315186319,0.03114724480578139,224441,226189,233432,201604,191630,187690,218564.0,7733.0,1,1,6,0,39717,1929.6063847323887,0.22095572938650965,0,1311384,46398,1264986,5.4414273858921165,0,0,0
20000,1,23,1,1,1,3,3,3,11819,12840,15416,15567,15022,16855,1524,3100,696,0,2237,0,0,0,0,1,1,0,0,0,0.5909204539773011,0.6419679016049198,0.7707614619269036,0.7783110844457777,0.7510624468776561,0.8427078646067696,0.12893401015228426,0.24141422007631805,0.04514496983848998,0.0,0.14890501231445116,0.0,10295,9740,14720,15567,12785,16855,14586.5,1259.5,3,1,6,3,-5036,1257.2286585979498,0.5564189681778933,0,87519,7557,79962,4.167571428571429,0,2,0
50000,2,44,1,1,1,1,1,1,10012,11039,12549,16995,17490,18253,1500,2000,5000,778,1200,752,1,0,0,1,1,0,0,0,0.2002359952800944,0.22077558448831022,0.25097498050038997,0.3398932021359573,0.3497930041399172,0.3650526989460211,0.14980525317087787,0.18115942028985507,0.398406374501992,0.04577547658272535,0.06860671202332629,0.04119645009313027,8512,9039,7549,16217,16290,17501,14389.666666666666,1871.6666666666667,1,1,6,0,-8241,1602.6210614698243,0.5580804624967467,1,86338,11230,75108,1.6929019607843137,0,0,0
120000,2,39,2,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,2,1,1,1,0,0.0,0.0,0,0,0,0,0.0,6,6,1
120000,2,37,3,3,3,3,3,3,744,744,744,744,1188,594,444,444,444,888,0,888,1,0,0,1,1,0,0,0,0.006199948333763886,0.006199948333763886,0.006199948333763886,0.006199948333763886,0.009899917500687494,0.004949958750343747,0.5959731543624162,0.5959731543624162,0.5959731543624162,1.1919463087248323,0.0,1.492436974789916,300,300,300,-144,1188,-294,793.0,518.0,3,1,6,6,150,334.23105780283197,0.22017856245245848,1,4758,3108,1650,0.039322314049586776,0,1,1
